approved_symbol,hgnc_id,gene_name_reported,source_name,source_evidence_score,source_details
B4GALT7,,B4GALT7,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:BIALLELIC, autosomal or pseudoautosomal"
BGN,,BGN,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)|Phenotypes:syndromic thoracic aortic aneurysm and dissection;X-linked syndromic TAAD|PMIDs:27632686;17502576"
CBS,,CBS,PanelApp_UK:Childhood_solid_tumours,0.5,"Confidence:2|MOI:BIALLELIC, autosomal or pseudoautosomal|Phenotypes:Marfan syndrome"
CHST14,,CHST14,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:BIALLELIC, autosomal or pseudoautosomal"
COL11A1,,COL11A1,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:BOTH monoallelic and biallelic, autosomal or pseudoautosomal"
COL11A2,,COL11A2,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:BOTH monoallelic and biallelic, autosomal or pseudoautosomal"
COL1A1,,COL1A1,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Ehlers-Danlos syndrome, classic, 130000;Ehlers-Danlos syndrome, type VIIA, 130060|PMIDs:26188975;14630726"
COL1A2,,COL1A2,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Ehlers-Danlos syndrome, cardiac valvular form;Ehlers-Danlos syndrome, type VIIB|PMIDs:15077201;17211858;21593863"
COL2A1,,COL2A1,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"
COL3A1,,COL3A1,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:BOTH monoallelic and biallelic, autosomal or pseudoautosomal|Phenotypes:Ehlers-Danlos syndrome, vascular type, OMIM:130050;Polymicrogyria with or without vascular-type EDS, OMIM:618343|PMIDs:25758994;2243125"
COL4A1,,COL4A1,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Hereditary Angiopathy with Nephropathy, Aneurysms, and Muscle Cramps;Angiopathy, hereditary, with nephropathy, aneurysms, and muscle, 611773"
COL5A1,,COL5A1,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Ehlers-Danlos syndrome, classic type, OMIM:130000;Fibromuscular dysplasia, multifocal, OMIM:619329|PMIDs:26188975;10946364;28868310;25845371;239975631;2180144;29543232;32938213"
COL5A2,,COL5A2,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:multisystemic smooth muscle dysfunction syndrome;Ehlers-Danlos syndrome, classic type, 130000|PMIDs:26188975;29543232"
COL9A1,,COL9A1,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"
COL9A2,,COL9A2,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:BOTH monoallelic and biallelic, autosomal or pseudoautosomal"
COL9A3,,COL9A3,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"
EFEMP2,,EFEMP2,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:BIALLELIC, autosomal or pseudoautosomal|Phenotypes:Cutis laxa, autosomal recessive, type IB, 614437;aortic aneurysm|PMIDs:20019329;17937443;22440127;16685658"
ELN,,ELN,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Cutis laxa, autosomal dominant, 123700;Supravalvar aortic stenosis, 185500|PMIDs:16085695"
EMILIN1,,EMILIN1,PanelApp_UK:Childhood_solid_tumours,0.1,Confidence:1
FBLN5,,FBLN5,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:BOTH monoallelic and biallelic, autosomal or pseudoautosomal|Phenotypes:?Cutis laxa, autosomal dominant 2, OMIM:614434;Cutis laxa, autosomal recessive, type IA, OMIM:219100|PMIDs:12189163;27089918;11805835;11805834;16153447"
FBN1,,FBN1,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Ectopia lentis, familial (129600);Marfan syndrome (154700);Marfan lipodystrophy syndrome (616914);Aortic aneurysm, ascending, and dissection;Weill-Marchesani syndrome 2, dominant, (608328);Acromicric dysplasia (102370);Stiff skin syndrome (184900);MASS syndrome (604308);ongenital contracturalarachnodactyly;Geleophysic dysplasia 2 (614185);Marfan Syndrome|PMIDs:20082464"
FBN2,,FBN2,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Contractural arachnodactyly, congenital, 121050;Congenital Contractural Arachnodactyly|PMIDs:25975422"
FKBP14,,FKBP14,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:BIALLELIC, autosomal or pseudoautosomal"
FLCN,,FLCN,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Pneumothorax, primary spontaneous, 173600;Birt-Hogg-Dube syndrome,135150|PMIDs:15657874;17496196;20413710;21550484;19483054;15852235;15805188;12204536;26928018"
FLNA,,FLNA,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)|Phenotypes:Cardiac valvular dysplasia, X-linked, OMIM:314400;Heterotopia, periventricular, 1, OMIM:300049|PMIDs:23032111;26188975;17172441"
FOXE3,,FOXE3,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:{Aortic aneurysm, familial thoracic 11, susceptibility to}|PMIDs:26854927"
HNRNPK,,HNRNPK,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"
IPO8,,IPO8,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:BIALLELIC, autosomal or pseudoautosomal|Phenotypes:Loeys-Dietz syndrome-like;cardiovascular, neurologic, skeletal and immunologic abnormalities|PMIDs:34010604;34010605"
KCNN1,,KCNN1,PanelApp_UK:Childhood_solid_tumours,0.1,Confidence:1|MOI:Unknown
LOX,,LOX,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:aortic aneurysm;Aortic aneurysm, familial thoracic 10, 617168|PMIDs:26838787;27432961"
LTBP2,,LTBP2,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:BIALLELIC, autosomal or pseudoautosomal|Phenotypes:Marfan syndrome|PMIDs:22539340;doi:10.​1007/​s12265-016-9673-5"
MAT2A,,MAT2A,PanelApp_UK:Childhood_solid_tumours,0.1,Confidence:1
MED12,,MED12,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:X-LINKED: hemizygous mutation in males, biallelic mutations in females|Phenotypes:Lujan-Fryns syndrome, OMIM:309520;Marfan Syndrome, Thoracic Aortic Aneurysm & Dissection (TAAD), and Related Disorders|PMIDs:17369503;20630950;23506379"
MFAP5,,MFAP5,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Aortic aneurysm, familial thoracic 9, 616166|PMIDs:25434006;26854089"
MYH11,,MYH11,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Aortic aneurysm, familial thoracic 4, 132900;Aortic aneurysm, familial thoracic 4 (132900)|PMIDs:27081537;17666408;16444274;doi:10.​1007/​s12265-016-9673-5"
MYLK,,MYLK,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Aortic aneurysm, familial thoracic 7, OMIM:613780|PMIDs:21055718"
MYLK2,,MYLK2,PanelApp_UK:Childhood_solid_tumours,0.1,Confidence:1
NOTCH1,,NOTCH1,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Aortic valve disease 1, 109730|PMIDs:16025100;23102684;17662764;26820064;16729972"
PKD1,,PKD1,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Polycystic kidney disease, adult type I,173900;Connective Tissue Disorders|PMIDs:19165178;20558538;22034641"
PKD2,,PKD2,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Polycystic kidney disease 2, 613095;Connective Tissue Disorders"
PLOD1,,PLOD1,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:BIALLELIC, autosomal or pseudoautosomal|Phenotypes:Ehlers-Danlos syndrome, type VI, 225400;kyphoscoliotic EDS|PMIDs:15666309"
PRKG1,,PRKG1,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Aortic aneurysm, familial thoracic 8, 615436"
SKI,,SKI,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Marfan Syndrome, Thoracic Aortic Aneurysm & Dissection (TAAD), and Related Disorders;Shprintzen-Goldberg Craniosynostosis Syndrome, 182212;Shprintzen-Goldberg syndrome (182212)|PMIDs:23023332"
SLC2A10,,SLC2A10,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:BIALLELIC, autosomal or pseudoautosomal|Phenotypes:Marfan Syndrome, Thoracic Aortic Aneurysm & Dissection (TAAD), and Related Disorders;Arterial tortuosity syndrome, 208050|PMIDs:23142374;22001912;16550171"
SLC39A13,,SLC39A13,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:BIALLELIC, autosomal or pseudoautosomal"
SMAD2,,SMAD2,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:arterial aneurysms and dissections|PMIDs:26247899"
SMAD3,,SMAD3,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Loeys Dietz syndrome, type 3, 613795;Loeys Dietz syndrome, type 3 (613795)|PMIDs:21217753;29392890"
SMAD4,,SMAD4,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome, 175050|PMIDs:26699655;23239472;25931195"
SMAD6,,SMAD6,PanelApp_UK:Childhood_solid_tumours,0.1,Confidence:1
TGFB2,,TGFB2,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Loeys-Dietz syndrome 4, 614816;Loeys-Dietz syndrome 4 (614816)|PMIDs:29392890"
TGFB3,,TGFB3,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Loeys-Dietz syndrome 5, 615582;Arrhythmogenic right ventricular dysplasia 1, 107970|PMIDs:25835445"
TGFBR1,,TGFBR1,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Loeys-Dietz syndrome;Loeys Dietz syndrome, type 2A, 608967;Loeys Dietz syndrome, type 1A, 609192;Loeys Dietz syndrome, type 1A (609192)|PMIDs:16928994"
TGFBR2,,TGFBR2,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Loeys-Dietz syndrome;Loeys Dietz syndrome, type 2B, 610380;Loeys Dietz syndrome, type 2 (610168);Loeys Dietz syndrome, type 1B, 610168|PMIDs:16928994"
TNXB,,TNXB,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:BIALLELIC, autosomal or pseudoautosomal"
ZNF469,,ZNF469,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:BIALLELIC, autosomal or pseudoautosomal"
ACTA2,,ACTA2,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Marfan syndrome;Loeys Dietz syndromes;familial thoracic aortic aneurysms and dissections;610380;child and adult onset|PMIDs:23788249"
ACTC1,,ACTC1,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Hypertrophic cardiomyopathy, dilated cardiomyopathy;612098;child and adult onset|PMIDs:23788249"
APC,,APC,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Bowel cancer predisposition;Familial Adenomatous Polyposis;Adult and child;Familial adenomatous polyposis;175100;child and adult onset"
APOB,,APOB,PanelApp_UK:Adult_solid_tumours,0.1,Confidence:1|MOI:Other - please specify in evaluation comments|Phenotypes:Familial hypercholesterolaemia;Familial Hypercholesterolaemia;Adult and child;Familial hypercholesterolemia;child and adult onset
BRCA1,,BRCA1,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Breast and ovarian cancer predisposition;Hereditary Brest and Ovarian Cancer;Adult only;Hereditary breast and ovarian cancer;612555;Adult onset"
BRCA2,,BRCA2,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Breast and ovarian cancer predisposition;Hereditary Brest and Ovarian Cancer;Adult only;Hereditary breast and ovarian cancer;604370;Adult onset"
CACNA1S,,CACNA1S,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Malignant hyperthermia susceptibility;145600;child and adult onset|PMIDs:23788249"
CFTR,,CFTR,PanelApp_UK:Adult_solid_tumours,0.1,Confidence:1|Phenotypes:Autosomal recessive carrier status;Cystic Fibrosis
COL3A1,,COL3A1,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Ehlers Danlos syndrome, vascular type;130050;child and adult onset|PMIDs:23788249"
DSC2,,DSC2,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Arrhythmogenic right-ventricular cardiomyopathy;610476;child and adult onset|PMIDs:23788249"
DSG2,,DSG2,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Arrhythmogenic right-ventricular cardiomyopathy;610193;child and adult onset|PMIDs:23788249"
DSP,,DSP,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Arrhythmogenic right-ventricular cardiomyopathy;604400;child and adult onset|PMIDs:23788249"
FBN1,,FBN1,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Marfan syndrome;Loeys Dietz syndromes;familial thoracic aortic aneurysms and dissections;154700;child and adult onset|PMIDs:23788249"
GLA,,GLA,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)|Phenotypes:Hypertrophic cardiomyopathy, dilated cardiomyopathy;301500;child and adult onset|PMIDs:23788249"
KCNH2,,KCNH2,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:613688;child and adult onset|PMIDs:23788249"
KCNQ1,,KCNQ1,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:192500;child and adult onset|PMIDs:23788249"
LDLR,,LDLR,PanelApp_UK:Adult_solid_tumours,0.1,Confidence:1|MOI:Other - please specify in evaluation comments|Phenotypes:Familial hypercholesterolaemia;Familial Hypercholesterolaemia;Adult and child;Familial hypercholesterolemia;143890;child and adult onset
LMNA,,LMNA,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Hypertrophic cardiomyopathy, dilated cardiomyopathy;115200;child and adult onset|PMIDs:23788249"
MEN1,,MEN1,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Other cancer predisposition;Myltiple endocrine Neoplasia Type 1;Adult and child;Multiple endocrine neoplasia type 1;131100;child and adult onset"
MLH1,,MLH1,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Bowel cancer predisposition;Hereditary non-polyposis colorectal cancer;Adult only;Lynch syndrome;120435;adult onset"
MSH2,,MSH2,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Bowel cancer predisposition;Hereditary non-polyposis colorectal cancer;Adult only;Lynch syndrome;120435;adult onset"
MSH6,,MSH6,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Bowel cancer predisposition;Hereditary non-polyposis colorectal cancer;Adult only;Lynch syndrome;120435;adult onset"
MUTYH,,MUTYH,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:BIALLELIC, autosomal or pseudoautosomal|Phenotypes:Bowel cancer predisposition;MYH-associated polyposis;Adult only;adenomas, multiple colorectal, FAP type 2;colorectal adenomatous polyposis, autosomal recessive, with pilomatricomas;608456;132600;Adult onset"
MYBPC3,,MYBPC3,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Hypertrophic cardiomyopathy, dilated cardiomyopathy;115197;child and adult onset|PMIDs:23788249"
MYH11,,MYH11,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Marfan syndrome;Loeys Dietz syndromes;familial thoracic aortic aneurysms and dissections;611788;child and adult onset|PMIDs:23788249"
MYH7,,MYH7,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Hypertrophic cardiomyopathy, dilated cardiomyopathy;192600;child and adult onset|PMIDs:23788249"
MYL2,,MYL2,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Hypertrophic cardiomyopathy, dilated cardiomyopathy;608758;child and adult onset|PMIDs:23788249"
MYL3,,MYL3,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Hypertrophic cardiomyopathy, dilated cardiomyopathy;608751;child and adult onset|PMIDs:23788249"
MYLK,,MYLK,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Marfan syndrome;Loeys Dietz syndromes;familial thoracic aortic aneurysms and dissections;613795;child and adult onset|PMIDs:23788249"
NF2,,NF2,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Neurofibromatosis type 2;101100;child and adult onset|PMIDs:23788249"
PCSK9,,PCSK9,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Familial hypercholesterolaemia;Familial Hypercholesterolaemia;Adult and child;Familial hypercholesterolemia;603776;child and adult onset"
PKP2,,PKP2,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Arrhythmogenic right-ventricular cardiomyopathy;609040;child and adult onset|PMIDs:23788249"
PMS2,,PMS2,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Lynch syndrome;120435;adult onset|PMIDs:23788249"
PRKAG2,,PRKAG2,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Hypertrophic cardiomyopathy, dilated cardiomyopathy;600858;child and adult onset|PMIDs:23788249"
PTEN,,PTEN,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:PTEN hamartoma tumour syndrome;153480;child and adult onset|PMIDs:23788249"
RB1,,RB1,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Retinoblastoma;180200;child onset|PMIDs:23788249"
RET,,RET,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Other cancer predisposition;Myltiple endocrine Neoplasia Type 2;Adult and child;Multiple endocrine neoplasia type 2;171400;162300;Familial medullary thyroid cancer;1552401;child and adult onset"
RYR1,,RYR1,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Malignant hyperthermia susceptibility;145600;child and adult onset|PMIDs:23788249"
RYR2,,RYR2,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Catecholaminergic polymorphic ventricular tachycardia;604772|PMIDs:23788249"
SCN5A,,SCN5A,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:603830;601144;child and adult onset|PMIDs:23788249"
SDHAF2,,SDHAF2,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Hereditary paraganglioma pheochromocytoma syndrome;601650;child and adult onset|PMIDs:23788249"
SDHB,,SDHB,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Hereditary paraganglioma pheochromocytoma syndrome;115310;child and adult onset|PMIDs:23788249"
SDHC,,SDHC,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Hereditary paraganglioma pheochromocytoma syndrome;605373;child and adult onset|PMIDs:23788249"
